id;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health
1;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3
2;0;no;yes;no;no;no;yes;yes;no;5;3;3;1;1;3
3;3;yes;no;yes;no;yes;yes;yes;no;4;3;2;2;3;3
4;0;no;yes;yes;yes;yes;yes;yes;yes;3;2;2;1;1;5
5;0;no;yes;yes;no;yes;yes;no;no;4;3;2;1;2;5
6;0;no;yes;yes;yes;yes;yes;yes;no;5;4;2;1;2;5
7;0;no;no;no;no;yes;yes;yes;no;4;4;4;1;1;3
8;0;yes;yes;no;no;yes;yes;no;no;4;1;4;1;1;1
9;0;no;yes;yes;no;yes;yes;yes;no;4;2;2;1;1;1
10;0;no;yes;yes;yes;yes;yes;yes;no;5;5;1;1;1;5
11;0;no;yes;yes;no;yes;yes;yes;no;3;3;3;1;2;2
12;0;no;yes;no;yes;yes;yes;yes;no;5;2;2;1;1;4
13;0;no;yes;yes;yes;yes;yes;yes;no;4;3;3;1;3;5
14;0;no;yes;yes;no;yes;yes;yes;no;5;4;3;1;2;3
15;0;no;yes;no;no;yes;yes;yes;yes;4;5;2;1;1;3
16;0;no;yes;no;no;yes;yes;yes;no;4;4;4;1;2;2
17;0;no;yes;yes;yes;yes;yes;yes;no;3;2;3;1;2;2
18;0;yes;yes;no;yes;yes;yes;no;no;5;3;2;1;1;4
19;3;no;yes;no;yes;yes;yes;yes;no;5;5;5;2;4;5
20;0;no;no;yes;yes;yes;yes;yes;no;3;1;3;1;3;5
21;0;no;no;no;no;yes;yes;yes;no;4;4;1;1;1;1
22;0;no;yes;yes;no;yes;yes;yes;no;5;4;2;1;1;5
23;0;no;no;no;yes;yes;yes;yes;no;4;5;1;1;3;5
24;0;no;yes;no;yes;yes;yes;yes;no;5;4;4;2;4;5
25;0;yes;yes;yes;yes;yes;yes;yes;no;4;3;2;1;1;5
26;2;no;yes;yes;no;no;yes;yes;no;1;2;2;1;3;5
27;0;no;yes;yes;no;yes;yes;yes;no;4;2;2;1;2;5
28;0;no;no;yes;no;yes;yes;yes;no;2;2;4;2;4;1
29;0;yes;yes;no;yes;yes;yes;yes;no;5;3;3;1;1;5
30;0;no;yes;yes;yes;yes;yes;yes;yes;4;4;5;5;5;5
