id;school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;absences
1;GP;F;18;U;GT3;A;4;4;at_home;teacher;course;mother;2;2;6
2;GP;F;17;U;GT3;T;1;1;at_home;other;course;father;1;2;4
3;GP;F;15;U;LE3;T;1;1;at_home;other;other;mother;1;2;10
4;GP;F;15;U;GT3;T;4;2;health;services;home;mother;1;3;2
5;GP;F;16;U;GT3;T;3;3;other;other;home;father;1;2;4
6;GP;M;16;U;LE3;T;4;3;services;other;reputation;mother;1;2;10
7;GP;M;16;U;LE3;T;2;2;other;other;home;mother;1;2;0
8;GP;F;17;U;GT3;A;4;4;other;teacher;home;mother;2;2;6
9;GP;M;15;U;LE3;A;3;2;services;other;home;mother;1;2;0
10;GP;M;15;U;GT3;T;3;4;other;other;home;mother;1;2;0
11;GP;F;15;U;GT3;T;4;4;teacher;health;reputation;mother;1;2;0
12;GP;F;15;U;GT3;T;2;1;services;other;reputation;father;3;3;4
13;GP;M;15;U;LE3;T;4;4;health;services;course;father;1;1;2
14;GP;M;15;U;GT3;T;4;3;teacher;other;course;mother;2;2;2
15;GP;M;15;U;GT3;A;2;2;other;other;home;other;1;3;0
16;GP;F;16;U;GT3;T;4;4;health;other;home;mother;1;1;4
17;GP;F;16;U;GT3;T;4;4;services;services;reputation;mother;1;3;6
18;GP;F;16;U;GT3;T;3;3;other;other;reputation;mother;3;2;4
19;GP;M;17;U;GT3;T;3;2;services;services;course;mother;1;1;16
20;GP;M;16;U;LE3;T;4;3;health;other;home;father;1;1;4
21;GP;M;15;U;GT3;T;4;3;teacher;other;reputation;mother;1;2;0
22;GP;M;15;U;GT3;T;4;4;health;health;other;father;1;1;0
23;GP;M;16;U;LE3;T;4;2;teacher;other;course;mother;1;2;2
24;GP;M;16;U;LE3;T;2;2;other;other;reputation;mother;2;2;0
25;GP;F;15;R;GT3;T;2;4;services;health;course;mother;1;3;2
26;GP;F;16;U;GT3;T;2;2;services;services;home;mother;1;1;14
27;GP;M;15;U;GT3;T;2;2;other;other;home;mother;1;1;2
28;GP;M;15;U;GT3;T;4;2;health;services;other;mother;1;1;4
29;GP;M;16;U;LE3;A;3;4;services;other;home;mother;1;2;4
30;GP;M;16;U;GT3;T;4;4;teacher;teacher;home;mother;1;2;16
31;GP;M;15;U;GT3;T;4;4;health;services;home;mother;1;2;0
32;GP;M;15;U;GT3;T;4;4;services;services;reputation;mother;2;2;0
33;GP;M;15;R;GT3;T;4;3;teacher;at_home;course;mother;1;2;0
34;GP;M;15;U;LE3;T;3;3;other;other;course;mother;1;2;0
35;GP;M;16;U;GT3;T;3;2;other;other;home;mother;1;1;0
36;GP;F;15;U;GT3;T;2;3;other;other;other;father;2;1;0
37;GP;M;15;U;LE3;T;4;3;teacher;services;home;mother;1;3;2
38;GP;M;16;R;GT3;A;4;4;other;teacher;reputation;mother;2;3;7
39;GP;F;15;R;GT3;T;3;4;services;health;course;mother;1;3;2
40;GP;F;15;R;GT3;T;2;2;at_home;other;reputation;mother;1;1;8
41;GP;F;16;U;LE3;T;2;2;other;other;home;mother;2;2;25
42;GP;M;15;U;LE3;T;4;4;teacher;other;home;other;1;1;8
43;GP;M;15;U;GT3;T;4;4;services;teacher;course;father;1;2;2
44;GP;M;15;U;GT3;T;2;2;services;services;course;father;1;1;0
45;GP;F;16;U;LE3;T;2;2;other;at_home;course;father;2;2;14
46;GP;F;15;U;LE3;A;4;3;other;other;course;mother;1;2;8
47;GP;F;16;U;LE3;A;3;3;other;services;home;mother;1;2;12
48;GP;M;16;U;GT3;T;4;3;health;services;reputation;mother;1;4;4
49;GP;M;15;U;GT3;T;4;2;teacher;other;home;mother;1;2;2
50;GP;F;15;U;GT3;T;4;4;services;teacher;other;father;1;2;2
51;GP;F;16;U;LE3;T;2;2;services;services;course;mother;3;2;2
52;GP;F;15;U;LE3;T;4;2;health;other;other;mother;1;2;2
53;GP;M;15;U;LE3;A;4;2;health;health;other;father;2;1;6
54;GP;F;15;U;GT3;T;4;4;services;services;course;mother;1;1;0
55;GP;F;15;U;LE3;A;3;3;other;other;other;mother;1;1;6
56;GP;F;16;U;GT3;A;2;1;other;other;other;mother;1;2;8
57;GP;F;15;U;GT3;A;4;3;services;services;reputation;mother;1;2;0
58;GP;M;15;U;GT3;T;4;4;teacher;health;reputation;mother;1;2;4
59;GP;M;15;U;LE3;T;1;2;other;at_home;home;father;1;2;2
60;GP;F;16;U;GT3;T;4;2;services;other;course;mother;1;2;2
61;GP;F;16;R;GT3;T;4;4;health;teacher;other;mother;1;2;6
62;GP;F;16;U;GT3;T;1;1;services;services;course;father;4;1;6
63;GP;F;16;U;LE3;T;1;2;other;services;reputation;father;1;2;4
64;GP;F;16;U;GT3;T;4;3;teacher;health;home;mother;1;3;2
65;GP;F;15;U;LE3;T;4;3;services;services;reputation;father;1;2;0
66;GP;F;16;U;LE3;T;4;3;teacher;services;course;mother;3;2;2
67;GP;M;15;U;GT3;A;4;4;other;services;reputation;mother;1;4;4
68;GP;F;16;U;GT3;T;3;1;services;other;course;mother;1;4;4
69;GP;F;15;R;LE3;T;2;2;health;services;reputation;mother;2;2;2
70;GP;F;15;R;LE3;T;3;1;other;other;reputation;father;2;4;12
71;GP;M;16;U;GT3;T;3;1;other;other;reputation;father;2;4;0
72;GP;M;15;U;GT3;T;4;2;other;other;course;mother;1;4;0
73;GP;F;15;R;GT3;T;1;1;other;other;reputation;mother;1;2;2
74;GP;M;16;U;GT3;T;3;1;other;other;reputation;mother;1;1;2
75;GP;F;16;U;GT3;T;3;3;other;services;home;mother;1;2;54
76;GP;M;15;U;GT3;T;4;3;teacher;other;home;mother;1;2;6
77;GP;M;15;U;GT3;T;4;0;teacher;other;course;mother;2;4;8
78;GP;F;16;U;GT3;T;2;2;other;other;reputation;mother;1;4;0
79;GP;M;17;U;GT3;T;2;1;other;other;home;mother;2;1;2
80;GP;F;16;U;GT3;T;3;4;at_home;other;course;mother;1;2;12
81;GP;M;15;U;GT3;T;2;3;other;services;course;father;1;1;2
82;GP;M;15;U;GT3;T;2;3;other;other;home;mother;1;3;4
83;GP;F;15;U;LE3;T;3;2;services;other;reputation;mother;1;2;10
84;GP;M;15;U;LE3;T;2;2;services;services;home;mother;2;2;4
85;GP;F;15;U;GT3;T;1;1;other;other;home;father;1;2;2
86;GP;F;15;U;GT3;T;4;4;services;services;reputation;father;2;2;6
87;GP;F;16;U;LE3;T;2;2;at_home;other;course;mother;1;2;4
88;GP;F;15;U;GT3;T;4;2;other;other;reputation;mother;1;3;4
89;GP;M;16;U;GT3;T;2;2;services;other;reputation;father;2;2;12
90;GP;M;16;U;LE3;A;4;4;teacher;health;reputation;mother;1;2;18
91;GP;F;16;U;GT3;T;3;3;other;other;home;mother;1;3;0
92;GP;F;15;U;GT3;T;4;3;services;other;reputation;mother;1;1;4
93;GP;F;16;U;LE3;T;3;1;other;other;home;father;1;2;4
94;GP;F;16;U;GT3;T;4;2;teacher;services;home;mother;2;2;0
95;GP;M;15;U;LE3;T;2;2;services;health;reputation;mother;1;4;6
96;GP;F;15;R;GT3;T;1;1;at_home;other;home;mother;2;4;2
97;GP;M;16;R;GT3;T;4;3;services;other;reputation;mother;2;1;2
98;GP;F;16;U;GT3;T;2;1;other;other;course;mother;1;2;2
99;GP;F;16;U;GT3;T;4;4;other;other;reputation;mother;1;1;6
100;GP;F;16;U;GT3;T;4;3;other;at_home;course;mother;1;3;0
101;GP;M;16;U;GT3;T;4;4;services;services;other;mother;1;1;14
102;GP;M;16;U;GT3;T;4;4;services;teacher;other;father;1;3;0
103;GP;M;15;U;GT3;T;4;4;services;other;course;mother;1;1;4
104;GP;F;15;U;GT3;T;3;2;services;other;home;mother;2;2;26
105;GP;M;15;U;GT3;A;3;4;services;other;course;mother;1;2;0
106;GP;F;15;U;GT3;A;3;3;other;health;reputation;father;1;4;10
107;GP;F;15;U;GT3;T;2;2;other;other;course;mother;1;4;8
108;GP;M;16;U;GT3;T;3;3;services;other;home;father;1;3;2
109;GP;M;15;R;GT3;T;4;4;other;other;home;father;4;4;6
110;GP;F;16;U;LE3;T;4;4;health;health;other;mother;1;3;4
111;GP;M;15;U;LE3;A;4;4;teacher;teacher;course;mother;1;1;6
112;GP;F;16;R;GT3;T;3;3;services;other;reputation;father;1;3;0
113;GP;F;16;U;GT3;T;2;2;at_home;other;home;mother;1;2;6
114;GP;M;15;U;LE3;T;4;2;teacher;other;course;mother;1;1;10
115;GP;M;15;R;GT3;T;2;1;health;services;reputation;mother;1;2;8
116;GP;M;16;U;GT3;T;4;4;teacher;teacher;course;father;1;2;2
117;GP;M;15;U;GT3;T;4;4;other;teacher;reputation;father;2;2;2
118;GP;M;16;U;GT3;T;3;3;other;services;home;father;2;1;0
119;GP;M;17;R;GT3;T;1;3;other;other;course;father;3;2;20
120;GP;M;15;U;GT3;T;3;4;other;other;reputation;father;1;1;6
121;GP;F;15;U;GT3;T;1;2;at_home;services;course;mother;1;2;2
122;GP;M;15;U;GT3;T;2;2;services;services;home;father;1;4;6
123;GP;F;16;U;LE3;T;2;4;other;health;course;father;2;2;2
124;GP;M;16;U;GT3;T;4;4;health;other;course;mother;1;1;18
125;GP;F;16;U;GT3;T;2;2;other;other;home;mother;1;2;0
126;GP;M;15;U;GT3;T;3;4;services;services;home;father;1;1;0
127;GP;F;15;U;LE3;A;3;4;other;other;home;mother;1;2;0
128;GP;F;19;U;GT3;T;0;1;at_home;other;course;other;1;2;2
129;GP;M;18;R;GT3;T;2;2;services;other;reputation;mother;1;1;0
130;GP;M;16;R;GT3;T;4;4;teacher;teacher;course;mother;1;1;8
131;GP;F;15;R;GT3;T;3;4;services;teacher;course;father;2;3;0
132;GP;F;15;U;GT3;T;1;1;at_home;other;course;mother;3;1;0
133;GP;F;17;U;LE3;T;2;2;other;other;course;father;1;1;12
134;GP;F;16;U;GT3;A;3;4;services;other;course;father;1;1;16
135;GP;M;15;R;GT3;T;3;4;at_home;teacher;course;mother;4;2;0
136;GP;F;15;U;GT3;T;4;4;services;at_home;course;mother;1;3;0
137;GP;M;17;R;GT3;T;3;4;at_home;other;course;mother;3;2;0
138;GP;F;16;U;GT3;A;3;3;other;other;course;other;2;1;0
139;GP;M;16;U;LE3;T;1;1;services;other;course;mother;1;2;0
140;GP;F;15;U;GT3;T;4;4;teacher;teacher;course;mother;2;1;0
141;GP;M;15;U;GT3;T;4;3;teacher;services;course;father;2;4;0
142;GP;M;16;U;LE3;T;2;2;services;services;reputation;father;2;1;8
143;GP;F;15;U;GT3;T;4;4;teacher;services;course;mother;1;3;2
144;GP;F;16;U;LE3;T;1;1;at_home;at_home;course;mother;1;1;2
145;GP;M;17;U;GT3;T;2;1;other;other;home;mother;1;1;0
146;GP;F;15;U;GT3;T;1;1;other;services;course;father;1;2;0
147;GP;F;15;U;GT3;T;3;2;health;services;home;father;1;2;0
148;GP;F;15;U;GT3;T;1;2;at_home;other;course;mother;1;2;2
149;GP;M;16;U;GT3;T;4;4;teacher;teacher;course;mother;1;1;0
150;GP;M;15;U;LE3;A;2;1;services;other;course;mother;4;1;0
151;GP;M;18;U;LE3;T;1;1;other;other;course;mother;1;1;0
152;GP;M;16;U;LE3;T;2;1;at_home;other;course;mother;1;1;6
153;GP;F;15;R;GT3;T;3;3;services;services;reputation;other;2;3;8
154;GP;M;19;U;GT3;T;3;2;services;at_home;home;mother;1;1;0
155;GP;F;17;U;GT3;T;4;4;other;teacher;course;mother;1;1;0
156;GP;M;15;R;GT3;T;2;3;at_home;services;course;mother;1;2;2
157;GP;M;17;R;LE3;T;1;2;other;other;reputation;mother;1;1;8
158;GP;F;18;R;GT3;T;1;1;at_home;other;course;mother;3;1;6
159;GP;M;16;R;GT3;T;2;2;at_home;other;course;mother;3;1;2
160;GP;M;16;U;GT3;T;3;3;other;services;course;father;1;2;4
161;GP;M;17;R;LE3;T;2;1;at_home;other;course;mother;2;1;0
162;GP;M;15;R;GT3;T;3;2;other;other;course;mother;2;2;6
163;GP;M;16;U;LE3;T;1;2;other;other;course;mother;2;1;0
164;GP;M;17;U;GT3;T;1;3;at_home;services;course;father;1;1;2
165;GP;M;17;R;LE3;T;1;1;other;services;course;mother;4;2;0
166;GP;M;16;U;GT3;T;3;2;services;services;course;mother;2;1;16
167;GP;M;16;U;GT3;T;2;2;other;other;course;father;1;2;4
168;GP;F;16;U;GT3;T;4;2;health;services;home;father;1;2;0
169;GP;F;16;U;GT3;T;2;2;other;other;home;mother;1;2;0
170;GP;F;16;U;GT3;T;4;4;health;health;reputation;mother;1;2;0
171;GP;M;16;U;GT3;T;3;4;other;other;course;father;3;1;0
172;GP;M;16;U;GT3;T;1;0;other;other;reputation;mother;2;2;2
173;GP;M;17;U;LE3;T;4;4;teacher;other;reputation;mother;1;2;0
174;GP;F;16;U;GT3;T;1;3;at_home;services;home;mother;1;2;0
175;GP;F;16;U;LE3;T;3;3;other;other;reputation;mother;2;2;4
176;GP;M;17;U;LE3;T;4;3;teacher;other;course;mother;2;2;4
177;GP;F;16;U;GT3;T;2;2;services;other;reputation;mother;2;2;2
178;GP;M;17;U;GT3;T;3;3;other;other;reputation;father;1;2;4
179;GP;M;16;R;GT3;T;4;2;teacher;services;other;mother;1;1;10
180;GP;M;17;U;GT3;T;4;3;other;other;course;mother;1;2;4
181;GP;M;16;U;GT3;T;4;3;teacher;other;home;mother;1;2;10
182;GP;M;16;U;GT3;T;3;3;services;other;home;mother;1;2;2
183;GP;F;17;U;GT3;T;2;4;services;services;reputation;father;1;2;0
184;GP;F;17;U;LE3;T;3;3;other;other;reputation;mother;1;2;56
185;GP;F;16;U;GT3;T;3;2;other;other;reputation;mother;1;2;14
186;GP;M;17;U;GT3;T;3;3;services;services;other;mother;1;2;12
187;GP;M;16;U;GT3;T;1;2;services;services;other;mother;1;1;2
188;GP;M;16;U;LE3;T;2;1;other;other;course;mother;1;2;0
189;GP;F;17;U;GT3;A;3;3;health;other;reputation;mother;1;2;6
190;GP;M;17;R;GT3;T;1;2;at_home;other;home;mother;1;2;4
191;GP;F;16;U;GT3;T;2;3;services;services;course;mother;1;2;10
192;GP;F;17;U;GT3;T;1;1;at_home;services;course;mother;1;2;0
193;GP;M;17;U;GT3;T;1;2;at_home;services;other;other;2;2;12
194;GP;M;16;R;GT3;T;3;3;services;services;reputation;mother;1;1;8
195;GP;M;16;U;GT3;T;2;3;other;other;home;father;2;1;0
196;GP;F;17;U;LE3;T;2;4;services;services;course;father;1;2;0
197;GP;M;17;U;GT3;T;4;4;services;teacher;home;mother;1;1;4
198;GP;M;16;R;LE3;T;3;3;teacher;other;home;father;3;1;8
199;GP;F;17;U;GT3;T;4;4;services;teacher;home;mother;2;1;24
200;GP;F;16;U;LE3;T;4;4;teacher;teacher;reputation;mother;1;2;0
201;GP;F;16;U;GT3;T;4;3;health;other;home;mother;1;2;2
202;GP;F;16;U;GT3;T;2;3;other;other;reputation;mother;1;2;6
203;GP;F;17;U;GT3;T;1;1;other;other;course;mother;1;2;4
204;GP;F;17;R;GT3;T;2;2;other;other;reputation;mother;1;1;18
205;GP;F;16;R;GT3;T;2;2;services;services;reputation;mother;2;4;6
206;GP;F;17;U;GT3;T;3;4;at_home;services;home;mother;1;3;28
207;GP;F;16;U;GT3;A;3;1;services;other;course;mother;1;2;5
208;GP;F;16;U;GT3;T;4;3;teacher;other;other;mother;1;2;10
209;GP;F;16;U;GT3;T;1;1;at_home;other;home;mother;2;1;6
210;GP;F;17;R;GT3;T;4;3;teacher;other;reputation;mother;2;3;6
211;GP;F;19;U;GT3;T;3;3;other;other;reputation;other;1;4;10
212;GP;M;17;U;LE3;T;4;4;services;other;home;mother;1;2;13
213;GP;F;16;U;GT3;A;2;2;other;other;reputation;mother;1;2;0
214;GP;M;18;U;GT3;T;2;2;services;other;home;mother;1;2;15
215;GP;F;17;R;LE3;T;4;4;services;other;other;mother;1;1;12
216;GP;F;17;U;LE3;T;3;2;other;other;reputation;mother;2;2;2
217;GP;F;17;U;GT3;T;4;3;other;other;reputation;mother;1;2;22
218;GP;M;18;U;LE3;T;3;3;services;health;home;father;1;2;13
219;GP;F;17;U;GT3;T;2;3;at_home;other;home;father;2;1;3
220;GP;F;17;U;GT3;T;2;2;at_home;at_home;course;mother;1;3;4
221;GP;F;17;R;GT3;T;2;1;at_home;services;reputation;mother;2;2;2
222;GP;F;17;U;GT3;T;1;1;at_home;other;reputation;mother;1;3;0
223;GP;F;16;U;GT3;T;2;3;services;teacher;other;mother;1;2;2
224;GP;M;18;U;GT3;T;2;2;other;other;home;mother;2;2;0
225;GP;F;16;U;GT3;T;4;4;teacher;services;home;mother;1;3;0
226;GP;F;18;R;GT3;T;3;1;other;other;reputation;mother;1;2;16
227;GP;F;17;U;GT3;T;3;2;other;other;course;mother;1;2;10
228;GP;M;17;U;LE3;T;2;3;services;services;reputation;father;1;2;2
229;GP;M;18;U;LE3;T;2;1;at_home;other;course;mother;4;2;14
230;GP;F;17;U;GT3;A;2;1;other;other;course;mother;2;3;10
231;GP;F;17;U;LE3;T;4;3;health;other;reputation;father;1;2;14
232;GP;M;17;R;GT3;T;2;2;other;other;course;father;2;2;4
233;GP;M;17;U;GT3;T;4;4;teacher;teacher;reputation;mother;1;2;14
234;GP;M;16;U;GT3;T;4;4;health;other;reputation;father;1;2;2
235;GP;M;16;U;LE3;T;1;1;other;other;home;mother;2;2;18
236;GP;M;16;U;GT3;T;3;2;at_home;other;reputation;mother;2;3;10
237;GP;M;17;U;LE3;T;2;2;other;other;home;father;1;2;4
238;GP;F;16;U;GT3;T;2;1;other;other;home;mother;1;1;20
239;GP;F;17;R;GT3;T;2;1;at_home;services;course;mother;3;2;2
240;GP;M;18;U;GT3;T;2;2;other;services;reputation;father;1;2;0
241;GP;M;17;U;LE3;T;4;3;health;other;course;mother;2;2;14
